epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,detector_baseline,detector_score,detector_threshold,detector_pgd10_acc,detector_seconds,intervention_triggered
1,20,20,0.0010795454545454546,2560,2.881867218017578,0.0,0.015056663565337658,0.49846612066030505,0.319921875,0.5681893408298493,0.915951943397522,0.03137257695198059,0.24296179115772248,0.883648031949997,nan,nan,0.16632988750934596,nan,0.0,0
1,40,40,0.002215909090909091,2560,2.632917022705078,0.00078125,0.05560824563726783,0.5090849727392197,0.359765625,0.3991423070430756,0.9132376551628113,0.03137257695198059,0.22999459281563758,0.879316708445549,nan,nan,0.16632988750934596,nan,0.0,0
1,60,60,0.0033522727272727276,2560,2.374278354644775,0.03359375,0.25476701706647875,0.5581231564283371,0.233984375,0.185138501226902,0.913381090760231,0.03137257695198059,0.2011236436665058,0.8671098083257676,nan,nan,0.16632988750934596,nan,0.0,0
1,80,80,0.004488636363636363,2560,2.279396152496338,0.109375,0.5481339916586876,0.6332002222537995,0.196484375,0.10989842787384987,0.9160305172204971,0.03137257695198059,0.15672141015529634,0.8357003211975098,0.05560824563726783,-0.49252574602141974,0.16632988750934596,nan,0.0,0
1,100,100,0.005625,2560,2.2274965763092043,0.153125,0.7024109601974488,0.6876620143651963,0.17578125,0.10373562015593052,0.9174996912479401,0.03137257695198059,0.12937753461301327,0.8105186998844147,0.1551876313518733,-0.5472233288455755,0.16632988750934596,nan,0.0,0
1,120,120,0.006761363636363636,2560,2.1881770133972167,0.160546875,0.7822323262691497,0.7240504145622253,0.214453125,0.10762017443776131,0.91581512093544,0.03137257695198059,0.1133024338632822,0.7921489745378494,0.25476701706647875,-0.527465309202671,0.16632988750934596,nan,0.0,0
1,140,140,0.007897727272727272,2560,2.1877495288848876,0.170703125,0.8170577734708786,0.7486236751079559,0.1890625,0.1176743146032095,0.9175762385129929,0.03137257695198059,0.10833330824971199,0.787245124578476,0.5481339916586876,-0.268923781812191,0.16632988750934596,nan,0.0,0
1,160,160,0.009034090909090908,2560,2.168926954269409,0.187109375,0.8535803884267807,0.7741170465946198,0.181640625,0.1246782723814249,0.9186350703239441,0.03137257695198059,0.09735420346260071,0.7687783151865005,0.7024109601974488,-0.151169428229332,0.16632988750934596,nan,0.0,0
1,180,180,0.010170454545454547,2560,2.154153919219971,0.184375,0.8752849400043488,0.7865637600421905,0.21328125,0.13338871039450167,0.9155149072408676,0.03137257695198059,0.0860951617360115,0.7564020812511444,0.7822323262691497,-0.09305261373519902,0.16632988750934596,nan,0.0,0
1,200,200,0.011306818181818182,2560,2.1632119178771974,0.18828125,0.8851363569498062,0.8009366512298584,0.170703125,0.13960345648229122,0.9173827052116394,0.03137257695198059,0.08089776039123535,0.7472313940525055,0.8170577734708786,-0.06807858347892759,0.16632988750934596,nan,0.0,0
